"Country","R2","Pval","Intercept","Slope"
"Australia",0.235400051785667,0.155196137495762,-20.037271888322,0.00342434898859733
"Canada",0.320861499009683,0.0221580097845792,134.608988378304,-0.000601597178567323
"France",0.720908971743809,3.27875723443531e-13,80.8506024645202,0.000588090178289513
"Germany",0.353443120876489,9.02361172015416e-08,141.852126234746,-0.000484258863303285
"Italy",0.0295511943181652,0.432854936789417,91.6713681961263,8.06078201109953e-05
"Japan",0.070322355015735,0.0574394937635727,123.989864083498,-0.000248658129933576
"Poland",0.0799804001724184,0.202208827374883,204.289727648154,-0.000709099241672615
"Spain",0.0750710124716719,0.175588881948875,127.525234892427,-0.000415437647329392
"United Kingdom",0.228598059271654,0.00102895096098,110.947847545288,0.000221119219223648
"United States",0.139860619955656,9.47741186055606e-07,100.198653608319,0.00043485433837483
