"Country","R2","Pval","Intercept","Slope"
"Australia",0.011020879973583,0.772869614658616,155.793330654026,-0.000447051153830719
"Canada",0.814411327438966,1.73604650626836e-06,69.1649080822936,0.00142368137260068
"France",0.000906756396937876,0.846147172829149,106.373642550518,1.29471511699651e-05
"Germany",0.48037647822342,5.76503302607157e-11,86.3954382929519,0.000382216097801463
"Italy",0.655307313361292,2.89077653476133e-06,89.9391845850165,0.000389850945238364
"Japan",0.696971918209901,1.4527361124889e-14,66.3463271139806,0.00094926960231823
"Poland",0.427004424280457,0.000974434644019719,87.3517780784029,0.000675372621966949
"Spain",0.0862268063494947,0.154248136803642,103.838160902862,0.00022487532964825
"United Kingdom",0.621259804531372,1.30220531239244e-10,97.9348774295361,0.000405953731831248
"United States",0.0245033136780152,0.0466767269780271,132.612633011317,-0.000245732558825401
